rank,trip,country,region,window,composite,tier,rank_lo,rank_hi,consistency,crowd,quality,beginner,advanced,safety,guide,lodging,travel,travel_note,note
1,Namotu / Tavarua island resorts,Fiji,Indo-Pacific,Apr–Oct,84.2,S,1,2,9,8.5,9.5,6,10,9,10,9.5,3,BOS→LAX→NAN ~19h + boat,"Cloudbreak/Restaurants for the chargers, Swimming Pools for improvers, island-capped guest counts, legendary family weeks with kids' programs. As close as it gets to guaranteed world-class waves with a family wrapper."
2,Telo Islands (Resort Latitude Zero),Indonesia,Indo-Pacific,Apr–Oct,84.1,S,1,2,9.5,9.5,9,6.5,9.5,8,10,9.5,1.5,BOS→SIN + charter ~30h,"Purpose-built family surf resort: ~20 breaks for a dozen guests, boat-guided by wave-of-the-tide, pool deck facing the surf, kids' programs. The archetype of 'everyone scores daily' — at expedition distance and price."
3,"Central/South atolls resort (Laamu, Six Senses area)",Maldives,Indian Ocean,Apr–Oct,83.0,S,3,3,9,9,9,6,8.5,9.5,9.5,10,2.5,BOS→MLE + domestic + boat ~24h,"Yin Yang and neighbors with a handful out; overwater villas where you watch the sets from the deck. Peak luxury-per-wave, priced accordingly."
4,North Malé surf resort (Pasta Point/Sultans),Maldives,Indian Ocean,Apr–Oct,82.7,S,4,5,9,8.5,9,6,8.5,9.5,10,9.5,3,BOS→MLE ~20h + speedboat,"Resort-exclusive lineups (Pasta Point caps surfer numbers by design), warm mechanical walls, dhoni boat shuttles, resort pools and lagoons for the family. The model answer to this brief except distance."
5,Las Flores + Punta Mango (boat resort),El Salvador,Central America,Apr–Sep,82.2,S,4,5,9,8,8.5,6.5,9,7.5,9.5,9,6.5,One-stop to SAL + 2.5h transfer,"Resort-and-panga model: guides run you to Punta Mango when it's on, mellow inside at Las Flores for improvers, pool terrace above the point. The CR experience of 20 years ago."
6,Mentawai land resort (Kandui/HT's zone),Indonesia,Indo-Pacific,Apr–Oct,80.0,S,6,7,10,7.5,10,4.5,10,7.5,9.5,8.5,1.5,BOS→PDG ~28h + fast ferry,"The best wave zone on the planet, boat-guided daily, resorts increasingly family-capable. But it's expert-centric, malaria-belt remote, and the journey is brutal with kids."
7,Playa Colorado / Hacienda Iguana,Nicaragua,Central America,Apr–Sep,79.6,A,6,8,9.5,7,8.5,6.5,9,6.5,8.5,9,6,One-stop to MGA + 2.5h drive,"Lake-effect offshores ~300 days/yr meet relentless SW swell: barreling beach break at your feet, gated community keeps lineups half-private. Panga trips to Lance's Left/Manzanillo. Political situation is calm in surf zones but score docked."
8,Salina Cruz guided camps (Oaxaca),Mexico,Mexico,Apr–Sep,79.3,A,7,10,9,8.5,9.5,4.5,10,7,9.5,6.5,5,Two-leg to HUX/SCX + guide pickup,"The 4x4-guide model at its best: sand-bottom right points (Punta Conejo etc.) picked by wind/tide each morning, lineups effectively gated by access. World-class waves; thin beginner options."
9,Coral Coast (Matanivusi / Sigatoka),Fiji,Indo-Pacific,Apr–Oct,79.0,A,7,10,8.5,8.5,8,6.5,8.5,9,9,8.5,3,BOS→LAX→NAN + 1.5h drive,Eco surf resorts boating you to soft-top-to-serious reef passes with nobody around; gentler and cheaper than the Namotu circus while still Fiji-consistent.
10,Waikiki + North Shore (Oahu),USA (Hawaii),Pacific/USA,Nov–Mar,78.0,A,8,16,9,2.5,8.5,9.5,9.5,9.5,8,8.5,5,"BOS→HNL ~11-12h, no passport",Waikiki is the original and still one of the best learner waves; winter North Shore is the sport's Colosseum for the experts to ride or watch. Everything is easy — and everyone is there.
11,Chicama + Pacasmayo,Peru,South America,Apr–Sep,77.5,A,10,17,9,8,9,7,8.5,6.5,7.5,7,4.5,BOS→LIM + hop to Trujillo,"The longest left on earth: catches any SW swell, and a 2-minute mechanical wall disperses whatever crowd exists. Hotel pools literally overlook the point. Cold-ish water (3/2), grey skies, basic towns."
12,Playa Guiones (Nosara) — green season,Costa Rica,Central America,Sep–Oct,77.4,A,10,17,9.5,6,7,8.5,6.5,8,7.5,8,7.5,Nonstop BOS→LIR ~5.5h + 2.5h drive,"Peak S-swell, thinner crowds, afternoon rain. Bigger surf trims the beginner score slightly; mornings still user-friendly."
13,Popoyo,Nicaragua,Central America,Apr–Sep,77.4,A,11,17,9.5,6,8.5,7,9,6.5,8,7.5,6,One-stop to MGA + 2.5h drive,"Same offshore machine, more variety: Popoyo main peak, Outer Reef for chargers, Beginner's Bay inside. Lodges with pools facing the reef."
14,El Zonte + El Tunco (La Libertad),El Salvador,Central America,Mar–Oct,77.2,A,12,16,9,5.5,8.5,7,8.5,7.5,8.5,7.5,7,One-stop to SAL + 45min drive,"Right-point machine (El Zonte, Sunzal for learners, Punta Roca for experts) 45 min from the airport. Security transformed since 2022; surf-city investment everywhere."
15,Barbados (Freights + Soup Bowl),Barbados,Caribbean,Nov–Mar,77.2,A,11,17,7.5,6,8,8,8.5,8.5,7.5,8,8.5,Nonstop BOS/JFK→BGI ~4.5-5h,"Trade-swell island that almost always has something: Freights' gentle left for learners, world-class Soup Bowl for the experts, safe and family-polished everywhere."
16,Salani / Aganoa (Upolu & Savai'i),Samoa,Indo-Pacific,Apr–Oct,77.2,A,10,20,8.5,9,8.5,5,9,8.5,9,7.5,2,BOS→LAX→HNL/NAN→APW ~24h,"Guided-only reef pass culture (resorts hold traditional village access), empty by design. Waves are shallow and punchy — thin true-beginner terrain."
17,Peniche + Baleal,Portugal,Europe/Atlantic,Sep–Oct,77.0,A,11,18,8.5,4,8,8,8.5,9.5,8,7.5,8,Nonstop BOS→LIS 6.5h + 1h drive,"360° peninsula — some bank is always offshore, from Baleal's learner lagoons to Supertubos. Surf-school capital of Europe, with the lineups that implies."
18,Famara (Lanzarote),Spain (Canary Is.),Europe/Atlantic,Oct–Mar,76.3,A,17,21,8.5,5.5,7.5,8.5,8,9,7.5,7.5,6,BOS→Madrid/LIS + hop,Famara's 5km learner beach under the cliffs plus serious reefs (El Quemao) for experts. Reliable winter machine with European ease.
19,Hanalei Bay (Kauai),USA (Hawaii),Pacific/USA,Nov–Mar,76.3,A,16,22,8.5,4.5,8.5,8,9,9.5,7,8.5,4.5,"BOS→LIH ~13h, no passport","One perfect crescent: kiddie rollers inside, long point walls outside, US ease, breathtaking setting. Winter surf demands respect on big days."
20,Gerupuk + Ekas bays (South Lombok),Indonesia,Indo-Pacific,May–Sep,76.1,A,17,23,9,6.5,7.5,9,7.5,7.5,9,7.5,2.5,BOS→LOP via DPS/SIN ~26h,Boat-to-the-break as daily routine: sheltered bay peaks where every level gets waves every day of dry season. One of the best places on earth to take a mixed-ability crew.
21,Fuerteventura,Spain (Canary Is.),Europe/Atlantic,Nov–Mar,75.9,A,19,24,8.5,5,8,7.5,8.5,9,7.5,8,6,BOS→Madrid/LIS + 2.5h hop,"The 'European Hawaii': winter N-swells, volcanic reefs on the North Track, big sandy Corralejo bay for learners, warm in January."
22,Simeulue Island (Aceh),Indonesia,Indo-Pacific,Mar–Oct,75.6,A,17,26,8.5,9,8,7,8.5,7.5,8,6.5,1.5,BOS→Medan + hop ~30h,"The quiet Mentawais: mellower reefs (The Peak, Dylan's), a couple of family-run resorts, single-digit lineups. Less wave ceiling, far more forgiving."
23,Nemberala (Rote),Indonesia,Indo-Pacific,May–Sep,75.3,A,21,28,9,8,8.5,6,8.5,7.5,8,7.5,1.5,BOS→DPS + hop + drive ~30h,T-Land's long forgiving left wall — an intermediate's dream wave — with sleepy-village emptiness and a few good family lodges.
24,Bundoran + Sligo,Ireland,Europe/Atlantic,Sep–Oct,74.7,B,22,29,7.5,7,7.5,6,8,9.5,7.5,7.5,7,Nonstop BOS→DUB + 3h drive,"Cold-water Eden: empty reefs and long beginner strands (Strandhill, Tullan) — in a 4/3 with booties. Family charm high if the family owns wetsuits."
25,La Saladita + Troncones,Mexico,Mexico,Apr–Sep,74.6,B,23,30,8.5,6,7,9.5,7,7,7,7.5,6.5,One-stop to ZIH + 40min drive,Saladita: an endless waist-high left made for learning and longboarding. Troncones/The Ranch up the road for punchy waves. Beach-house rentals with pools.
26,Playa Guiones (Nosara) — dry season,Costa Rica,Central America,Feb–Apr,74.5,B,23,32,9,4.5,6.5,10,5.5,8,7.5,8,7.5,Nonstop BOS→LIR ~5.5h + 2.5h drive,"Arguably the most consistent learner beach break in the Americas (~330 surfable days/yr), warm water, huge surf-school culture. Crowded because everyone knows it. Overhead outside peaks for advanced; Ollie's Point/Witch's Rock boat day-trips."
27,Papara + Moorea (Tahiti),French Polynesia,Indo-Pacific,May–Oct,74.5,B,24,30,8.5,6.5,8.5,5.5,9,8.5,7.5,8.5,3,BOS→SFO/LAX→PPT ~17h,"Black-sand river-mouth waves at Papara for improvers, reef passes and the Teahupoo spectacle for experts, overwater-bungalow family glamour on Moorea. Localism is polite but real."
28,Ericeira,Portugal,Europe/Atlantic,Sep–Oct,74.4,B,22,31,7.5,4,8.5,7,8.5,9.5,7.5,8,8,Nonstop BOS→LIS 6.5h + 45min,"World Surfing Reserve: reef points for the experienced, Foz do Lizandro sand for learners, lovely town, red-eye friendly. Everyone in Europe knows it — crowd score suffers."
29,Nusa Island Retreat (Kavieng),Papua New Guinea,Indo-Pacific,Nov–Apr,74.3,B,23,33,8,10,8,5.5,8.5,6.5,9,7.5,1,BOS→BNE/POM→KVG ~35h,The Surf Management Plan caps total surfers per break by law — the only formally rationed lineups on earth. Monsoon-season reefs by boat. Getting there is the hardest itinerary on this list.
30,São Miguel (Azores),Portugal (Azores),Europe/Atlantic,Sep–Oct,74.1,B,26,33,7,7.5,7,6.5,7.5,9.5,6.5,7,9,Nonstop BOS→PDL 4.5h(!),"The shortest real flight to empty Atlantic surf from Boston. Black-sand beach breaks and reefs, whales and hot springs for flat days. Weather-roulette — swell and wind change fast."
31,Sagres / Algarve,Portugal,Europe/Atlantic,Sep–Nov,73.8,B,28,34,7.5,5,7,8,7,9.5,8,8,7.5,Nonstop BOS→LIS + 3h drive,Two coasts at right angles: pick your size and wind every day. Warmer and mellower than Peniche; great family towns.
32,Hossegor + Capbreton,France,Europe/Atlantic,Sep–Oct,73.8,B,27,33,7.5,4.5,9,6.5,9,9.5,7,8,6,BOS→CDG/Madrid + hop to Biarritz,"The best beach-break barrels on earth in September, croissants for the kids, Capbreton's protected corner for learners. Shifty banks punish beginners on bigger days."
33,Taghazout + Tamraght,Morocco,Africa,Oct–Mar,73.8,B,28,34,8.5,4.5,8.5,7,8.5,7.5,8.5,7.5,5.5,BOS→LIS/CDG + hop to AGA,"Right-point conveyor (Anchor Point, Killers) with a mature surf-camp/guide industry and learner beaches between points. Winter crowds are real now."
34,Playa Venao,Panama,Central America,Apr–Oct,72.8,B,34,37,8.5,6.5,6.5,9,5.5,7.5,7,7.5,6,BOS→PTY ~5.5h + 5h drive or hop flight,Horseshoe bay that grooms S-swell into all-level peaks; genuinely uncrowded midweek. Sleepy but growing scene.
35,Ha'atafu (Tongatapu),Tonga,Indo-Pacific,May–Oct,72.8,B,30,37,8,9,7.5,5,8,8.5,8.5,7,1.5,BOS→LAX→NAN/AKL→TBU ~26h,"A handful of guests, a reef out front, whales breaching behind the lineup Jul–Oct. Shallow reef surfing only; the whale-swim is the family hook."
36,Raglan,New Zealand,Indo-Pacific,Dec–Mar,72.3,B,34,38,8,5,8.5,7.5,8,9.5,7,7.5,2.5,BOS→AKL ~20h + 2h drive,"Manu Bay's endless left plus a proper learner beach (Ngarunui), in a green artsy town. Springsuit water in summer; NZ safety and charm."
37,Pohnpei (P-Pass),Micronesia (FSM),Indo-Pacific,Oct–Mar,72.1,B,35,42,8,8.5,9.5,3,9.5,8,8.5,6,1,BOS→HNL→island-hopper ~30h,"Palikir Pass is a dream right for good surfers, boat-only, near-empty. Effectively no beginner terrain — a strike mission wearing a family-trip costume."
38,Rincón,Puerto Rico (USA),Caribbean,Nov–Mar,71.8,B,35,43,7,4.5,8,7,8,8.5,6,7.5,10,"Nonstop BOS→SJU 4h, no passport, + 2h drive","The easiest real surf trip from New England: no passport, US healthcare, winter N-swells lighting up a dozen breaks from mellow to Tres Palmas. Swell-dependent weeks and busy peaks are the tax."
39,San Cristóbal (Galápagos),Ecuador,South America,Dec–Apr,71.7,B,37,47,7.5,8.5,8,5.5,8,8,7,6.5,3.5,BOS→GYE + Galápagos flight + fees,"Sea lions in the lineup, N-swell reef points with almost nobody out, plus the wildlife trip of a lifetime for kids. Logistics and cost are the gate."
40,Lobitos + Máncora (north Peru),Peru,South America,Apr–Oct,71.3,B,39,44,8,7,8.5,6.5,8.5,6.5,6.5,6,4.5,BOS→LIM + hop to Talara/Piura,"Desert left points, warmer than Chicama, Máncora has the family beach scene. Oil-town grit around Lobitos."
41,Santa Catalina,Panama,Central America,Apr–Aug,71.1,B,40,49,8,7,8.5,5,9,7.5,6.5,5.5,5,BOS→PTY + 6h drive,"Powerful world-class right point, empty by CR standards. Estero beach break for learners, but the town is basic and the drive long."
42,Imsouane,Morocco,Africa,Oct–Mar,71.0,B,38,48,8,5,7.5,9.5,6,7.5,7.5,6,5.5,BOS→LIS/CDG + hop to AGA + 1.5h,The Bay: a 600m+ gentle right where a first-timer rides for 30 seconds — maybe the best learner wave anywhere. Village amenities are simple; longboarders flock to it.
43,Pichilemu / Punta de Lobos,Chile,South America,Nov–Mar,70.8,B,41,46,8.5,6,8.5,5.5,9,7.5,6,6.5,4,BOS→SCL + 3.5h drive,"Relentless left points, but 4/3-and-booties cold even in summer. A surf trip for a hardy family, not a tropical one."
44,Zarautz + San Sebastián,Spain,Europe/Atlantic,Sep–Oct,70.8,B,39,49,7,4.5,6.5,8.5,6.5,9.5,7.5,8.5,6.5,BOS→Madrid + hop/drive,"Gentle Basque beach breaks, world-best food, culture days built in. A family holiday with very good surf rather than a surf trip."
45,Puerto Escondido (La Punta base),Mexico,Mexico,Apr–Sep,70.7,B,38,54,9,4,9,4.5,9.5,7,7,7,5.5,Two-leg to PXM,"Zicatela is the Mexican Pipeline — spectate, don't bring the kids out. La Punta and Carrizalillo cove are the family end. Town is buzzing and busy."
46,Jeffreys Bay,South Africa,Africa,Jun–Aug,70.5,B,42,54,8.5,4.5,10,5.5,10,6,6.5,7.5,3,BOS→JNB/CPT→PLZ ~22h,"Supertubes is the best right point on the planet, and winter delivers it weekly. Learner beaches exist, water's cold, and it's a very long way with kids for a wave only the experts ride."
47,Nusa Lembongan,Indonesia,Indo-Pacific,May–Sep,70.5,B,42,50,9,4.5,8,6.5,8,7.5,7.5,8,2.5,BOS→DPS + fast boat,"Bali's swell without Bali's chaos: boat-accessed reefs (Playgrounds for improvers, Lacerations for experts), family resorts with pools facing the lineup."
48,Punta Mita + Sayulita,Mexico,Mexico,Dec–Apr,70.2,B,43,53,7,4.5,6.5,9,5.5,7.5,8.5,9,7.5,One-stop (or seasonal nonstop) to PVR + 45min,"Panga-driven longboard points (La Lancha, Anclote) with genuinely gentle waves; five-star family resorts. Sayulita itself is a zoo — stay Mita side."
49,El Paredón,Guatemala,Central America,Mar–Sep,70.1,B,43,56,8.5,7.5,6,7.5,6,6.5,6.5,6.5,6,One-stop to GUA + 2.5h drive,"Uncrowded black-sand beach break village — simple, cheap, consistent. Punchy shorebreak days need supervision for kids."
50,Uluwatu + Bingin (Bukit),Indonesia,Indo-Pacific,May–Sep,69.9,C,41,58,9.5,2,9.5,5,9.5,7.5,7,8.5,3,BOS→DPS ~24h,Dry-season perfection every single day — shared with the entire surfing world. The crowd score is the story; cliff-top pools do overlook the breaks.
51,Santa Teresa / Mal País,Costa Rica,Central America,Dec–Apr,69.8,C,50,54,8.5,3.5,7.5,7.5,7,7.5,7,8,6,BOS→SJO + 5h drive/ferry or air taxi,"Consistent beach breaks for all levels, great food/lodging scene, but discovered — lineups busy and the drive in is long."
52,Playa Encuentro (Cabarete),Dominican Republic,Caribbean,Dec–Mar,69.8,C,46,57,7,5.5,6.5,8.5,6,6.5,8,7.5,8.5,Nonstop BOS→POP/PUJ ~4.5h,Dawn-patrol reef peaks that suit surf schools remarkably well; kite/windsurf afternoons for the rest of the family. Short cheap flights.
53,Fernando de Noronha,Brazil,South America,Dec–Mar,69.6,C,45,59,7,8,8.5,5,8.5,7.5,6.5,7,3,BOS→GRU/REC→FEN + island fees,"Brazil's Hawaii: crystal N-swell peaks, capped visitor numbers keep it empty, spectacular for kids (dolphins, snorkeling). Expensive and far."
