rank,trip,country,region,window,composite,tier,family_ok,boys_composite,boys_rank,boys_ok,strike_composite,strike_rank,strike_ok,pool,cost_band,min_days,booking,water_f_lo,water_f_hi,wetsuit,rank_lo,rank_hi,consistency,crowd,quality,beginner,advanced,safety,turnkey,lodging,travel,strikeability,travel_note,note
1,Surf Ranch (Lemoore),USA (California),Pool,Year-round,91.6,S,yes,92.8,1,yes,78.2,8,no,yes,$$$$,2,Private hire via broker/invite; long waits,55,75,3/2 typical (4/3 winter),1,1,10,10,9,7.5,9,9.5,10,8,6.5,4,BOS→FAT ~9h + 1h drive,"The best artificial wave on earth, run like a private club: your group alone, a wave count no ocean lineup allows, on-site cabins. Scarcity is the catch — strikeability 4 because you book it like a resort, not a swell."
2,Waco Surf (Texas),USA (Texas),Pacific/USA,Year-round,89.2,S,yes,87.2,4,yes,85.9,1,yes,yes,$$,3,Book sessions online; private hire available,50,88,seasonal: trunks (May–Sep) to 4/3 (winter),2,2,10,8.5,7.5,10,8,9.5,9.5,8,7,9.5,BOS→DFW/AUS + 1.5h drive ~8-9h,"The flagship US pool: scheduled perfect waves, lifeguards, on-site casitas and a lazy river — a genuine resort, which is what qualifies it for the family division when pools are toggled on. Its score also remains the model's calibration diagnostic: it outscores every ocean trip."
3,Namotu / Tavarua island resorts,Fiji,Indo-Pacific,Apr–Oct,86.0,S,yes,87.9,2,yes,70.0,49,no,no,$$$$,8,Named family weeks only (min age otherwise); 12–18mo,76,82,trunks (spring top Jul–Aug),3,5,9,8.5,9.5,6,10,9,10,9.5,3,2,BOS→LAX→NAN ~19h + boat,"Cloudbreak/Restaurants for the chargers, Swimming Pools for improvers, island-capped guest counts, legendary family weeks with kids' programs. As close as it gets to guaranteed world-class waves with a family wrapper."
4,Telo Islands (Resort Latitude Zero),Indonesia,Indo-Pacific,Apr–Oct,85.9,S,yes,87.8,3,yes,66.0,84,no,no,$$$$,12,Fixed 10–12nt charter rotations ex-SIN; 12mo+,82,85,trunks,3,5,9.5,9.5,9,6.5,9.5,8,10,9.5,1.5,1,BOS→SIN + charter ~30h,"Purpose-built family surf resort: ~20 breaks for a dozen guests, boat-guided by wave-of-the-tide, pool deck facing the surf, kids' programs. The archetype of 'everyone scores daily' — at expedition distance and price."
5,Palm Springs Surf Club (California),USA (California),Pool,Year-round,85.7,S,yes,84.0,11,yes,81.8,2,yes,yes,$$,2,Book sessions online,58,85,seasonal: trunks (summer) to 3/2 (winter),3,5,10,8.5,7,9.5,7.5,9.5,9,6.5,6.5,9,BOS→PSP ~8h door-to-door,"Day-club pool with a real range from learner rollers to slabby wedges. No on-site resort — hotels are next door, which is exactly why the family division doesn't headline it."
6,"Central/South atolls resort (Laamu, Six Senses area)",Maldives,Indian Ocean,Apr–Oct,84.7,S,yes,85.5,5,yes,67.8,65,no,no,$$$$,8,Villa capacity; 9–12mo; 7-night min,84,86,trunks,6,9,9,9,9,6,8.5,9.5,9.5,10,2.5,2,BOS→MLE + domestic + boat ~24h,"Yin Yang and neighbors with a handful out; overwater villas where you watch the sets from the deck. Peak luxury-per-wave, priced accordingly."
7,The Wave (Bristol),United Kingdom,Pool,Year-round,84.4,S,yes,81.3,20,no,76.8,12,no,yes,$$,2,Sessions online; on-site lodges; ownership changed 2025 after administration — reconfirm bookings,50,63,4/3 most of year (5/4 winter),6,9,10,8,6.5,9.5,6.5,9.5,9,7.5,6.5,8,BOS→LHR/BRS ~10h,"The UK's flagship pool with on-site surf lodges — a genuine stay-and-surf property, so it qualifies for the family division under the resort rule."
8,Mukul / Guacalito de la Isla,Nicaragua,Central America,Apr–Sep,84.4,S,yes,84.2,10,yes,72.2,32,no,no,$$$$,6,Members-club resort (reopened 2024); Tropicsurf on-site; 6–9mo,74,82,trunks (spring top in upwelling spells),6,10,9.5,8,8,7.5,8.5,7,9.5,10,6,4.5,One-stop to MGA + 2.5h drive,"Closed 2018, reopened Jan 2024 as Nicaragua's flagship: 12 beachfront villas + 23 bohíos, Tropicsurf resident full-time (10-level coaching, guided boats to 17 breaks), and a private left point with no public road access. The corridor's consistency with Nihi-grade lodging — and a beginner program the boat resorts can't match."
9,Las Flores + Punta Mango (boat resort),El Salvador,Central America,Apr–Sep,84.3,S,yes,85.5,6,yes,73.6,27,no,no,$$,6,One resort; ~6mo for peak weeks,82,86,trunks,6,10,9,8,8.5,6.5,9,7.5,9.5,9,8,4,One-stop to SAL + 2.5h transfer,"Resort-and-panga model: guides run you to Punta Mango when it's on, mellow inside at Las Flores for improvers, pool terrace above the point. The CR experience of 20 years ago."
10,Revel Surf (Mesa),USA (Arizona),Pool,Year-round,83.9,S,yes,81.8,18,no,78.6,6,yes,yes,$,2,Sessions online,58,88,seasonal: trunks (Apr–Oct) to 3/2 (winter),8,11,10,8,6.5,9,7,9.5,9,6.5,7,8.5,BOS→PHX ~7.5h + 30min,"Arizona's dual-tech pool — cheap sessions, easy nonstop to Phoenix. Hotels nearby, no resort."
